SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
AZAL007,Tea Table Set Of 5/Cb,20,39.99,0,0,0,0,2,9/25/2018,9/25/2018,7/17/2015,-5,ACCESSORIES,TEA & COFFEE SERVICE,NONE,
AZALS018S,Long White Lacy Pillow,2,3.99,0,0,0,0,3,3/29/2019,3/29/2019,11/9/2017,1.5,ACCESSORIES,BED AND BATH,NONE,
AZD0158,"Tea Set, Silver Plated",3.5,6.99,0,0,0,0,6,2/7/2019,2/7/2019,1/8/2011,0.25,ACCESSORIES,TEA & COFFEE SERVICE,NONE,7.17E+11
AZD0328,"Framed Masterpieces, 12/Pk",21,41.99,0,0,0,0,9,5/2/2019,5/2/2019,3/15/2012,3,ACCESSORIES,PICTURES & FRAMES,NONE,7.17E+11
AZD0710,Fishing Pole,3.25,6.49,0,0,0,0,18,3/27/2019,3/27/2019,6/25/2011,0.49,ACCESSORIES,SPORTS,NONE,7.17E+11
AZD0864,Copper Tea Kettle,1.4,2.79,0,0,0,0,12,2/12/2019,2/12/2019,2/20/2016,-0.1,ACCESSORIES,TEA & COFFEE SERVICE,NONE,7.17E+11
AZD2602,"Place Settings, 12pc",1.85,3.69,0,0,0,0,6,5/2/2019,5/2/2019,5/14/2011,0.1,ACCESSORIES,PLACE SETTINGS,NONE,7.17E+11
AZD2789,"Spatter Coffee Set, Blue",1.5,2.99,0,0,0,0,6,2/4/2019,2/4/2019,7/4/2012,0.4,ACCESSORIES,TEA & COFFEE SERVICE,NONE,7.17E+11
AZD3109,"Dolls' Dollhouse, 2 1/2 Inch",2.75,5.49,0,0,0,0,34,4/30/2019,4/30/2019,7/13/2017,-0.5,ACCESSORIES,TOYS,NONE,7.17E+11
AZD3192,"Baby Doll, Asstd",1.5,2.99,0,0,0,0,6,2/12/2019,2/12/2019,11/4/2010,0.25,ACCESSORIES,TOYS,NONE,7.17E+11
AZD6924,Redware Coffee Set,1.5,2.99,0,0,0,0,3,12/6/2018,12/6/2018,7/13/2017,-0.3,ACCESSORIES,TEA & COFFEE SERVICE,NONE,7.17E+11
AZDC0301F,"Fiesta Silverware, 12",4.75,9.49,0,0,0,0,6,5/2/2019,5/2/2019,6/25/2011,0.71,ACCESSORIES,PLACE SETTINGS,NONE,7.62E+11
AZEIWF442,Lg Bathroom Towel Shelf/Cb,10,19.99,0,0,0,0,0,12/5/2018,2/24/2015,12/5/2018,-1.75,ACCESSORIES,SHELF,NONE,7.17E+11
