SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
FCA2373,Cottage-Rose,5.5,11,0,0,0,0,0,10/2/2016,5/27/2015,10/18/2010,0.27,DOLLHOUSES,DOLLS DOLLHOUSE,NONE,
HW6036,Working Garage Door Kit,24.25,48.5,0,0,0,0,5,4/25/2019,4/25/2019,3/22/2012,4.27,DOLLHOUSES,GARAGE,NONE,22931060366
HW9002,1 In Scale Thornhill Component Set,390,780,0,0,0,0,0,2/12/2016,11/14/2013,2/12/2016,-6.8,DOLLHOUSES,COMPONENT SETS,NONE,
HW9060,"Wooden Tabletop Turntable, 24 X 16",23,46,0,0,0,0,0,4/18/2019,4/18/2019,7/23/2014,6,DOLLHOUSES,TURNTABLE,NONE,22931090608
HW9062,6 Inch Metal Turntable,3.25,6.5,0,0,0,0,6,4/25/2019,4/25/2019,2/15/2013,0.75,DOLLHOUSES,TURNTABLE,NONE,22931090622
HW9064,9 Inch Metal Turntable,4.48,8.95,0,0,0,0,6,4/25/2019,4/25/2019,2/15/2013,0.48,DOLLHOUSES,TURNTABLE,NONE,22931090646
HW9065,12 Inch Metal Turntable,7.48,14.95,0,0,0,0,8,4/25/2019,4/25/2019,2/6/2013,1.48,DOLLHOUSES,TURNTABLE,NONE,22931090653
HW9900,"Conservatory Kit, Unfinished",55,110,0,0,0,0,0,8/30/2018,8/30/2018,1/31/2014,5.5,DOLLHOUSES,MISC,NONE,22931099007
HW9991,Corner Shop,60,120,0,0,0,0,3,4/3/2019,4/3/2019,1/31/2014,5,DOLLHOUSES,SHOPS,NONE,22931099915
HW9992,Bay Window Shop,55,110,0,0,0,0,5,5/2/2019,5/2/2019,1/31/2014,5.5,DOLLHOUSES,SHOPS,NONE,22931099922
HW9993,Two Window Shop,55,110,0,0,0,0,5,3/4/2019,3/4/2019,1/31/2014,5.5,DOLLHOUSES,SHOPS,NONE,22931099939
HW9997,"Garage Kit W/Working Door,Free Standing,Milled Mdf",49.5,99,0,0,0,0,3,4/22/2019,4/22/2019,12/1/2009,0,DOLLHOUSES,GARAGE,NONE,22931099977
LT567,Tudor Store,71.5,143,0,0,0,0,0,6/29/2018,5/19/2015,3/3/2015,0,DOLLHOUSES,DOLLHOUSES,NONE,
LT800,Country Church,18,36,0,0,0,0,0,4/19/2019,4/19/2019,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT801,Village Store,18,36,0,0,0,0,0,5/2/2019,5/2/2019,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT802,Oldtime Firehouse,18,36,0,0,0,0,3,4/7/2018,4/7/2018,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT805,Alpine Christmas House Kit,19.5,39,0,0,0,0,2,3/12/2019,3/12/2019,11/17/2017,-0.25,DOLLHOUSES,4-Jan,NONE,
LT806,Country Mill,18,36,0,0,0,0,5,4/24/2019,4/24/2019,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT807,Log Cabin Lodge,19,38,0,0,0,0,0,3/22/2019,3/22/2019,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT810,Row House,15.25,30.5,0,0,0,0,0,4/1/2019,4/1/2019,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT811,Row House,15.25,30.5,0,0,0,0,0,4/1/2019,4/1/2019,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT812,Row House,15.25,30.5,0,0,0,0,0,4/1/2019,4/1/2019,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT840,Hampton House Kit,19,38,0,0,0,0,2,5/2/2019,5/2/2019,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT841,Castle Kit,23.5,47,0,0,0,0,5,5/2/2019,5/2/2019,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT842,Thomas Point Lighthouse Kit,17,34,0,0,0,0,0,4/19/2019,4/19/2019,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT843,Auntie Em's Farmhouse Kit,17,34,0,0,0,0,4,3/12/2019,3/12/2019,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT844,Beach Cottage Kit,11.5,23,0,0,0,0,0,5/2/2019,5/2/2019,11/17/2017,-1,DOLLHOUSES,4-Jan,NONE,
LT845,Gazebo Kit,10.5,21,0,0,0,0,2,4/19/2019,4/19/2019,11/17/2017,-0.62,DOLLHOUSES,4-Jan,NONE,
LT846,Fishing Lodge Kit,16,32,0,0,0,0,0,11/14/2018,11/14/2018,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT847,Fishing Cabin Kit,10.5,21,0,0,0,0,0,6/29/2018,4/8/2015,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LT848,The Adobe House Kit,17.5,35,0,0,0,0,0,3/12/2019,3/12/2019,11/17/2017,-0.62,DOLLHOUSES,4-Jan,NONE,
LT849,The Savannah House Kit,29,58,0,0,0,0,0,6/29/2018,7/15/2015,11/17/2017,-0.62,DOLLHOUSES,4-Jan,NONE,
LT850,Uncle Ed's Barn Kit,17.5,35,0,0,0,0,0,3/18/2019,3/18/2019,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
LTDH100,Victorian House,18,36,0,0,0,0,0,3/27/2019,3/27/2019,11/17/2017,-0.5,DOLLHOUSES,4-Jan,NONE,
NE10105,25 Ton Coaling Station - N Sc,19.35,32.25,0,0,0,0,0,2/7/2019,7/15/2015,3/3/2015,0,DOLLHOUSES,4-Jan,NONE,7.61E+11
