SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
BYBJF17,Seltzer Bottle,3.5,7,0,0,0,0,0,10/2/2016,1/6/2015,1/6/2015,0,BEVERAGES,MISC,NONE,
FCA1952,"Hot Chocolate, 3Pc",7.5,15,0,0,0,0,9,2/11/2019,2/11/2019,2/26/2011,2.25,BEVERAGES,MISC,NONE,
FCA2073,"Milk Pitcher with 2 Glasses, 2 Set",11,22,0,0,0,0,4,3/18/2019,3/18/2019,11/22/2014,-2.25,BEVERAGES,MISC,NONE,
FCA2074,".Orange Juice with 2 Glasses, 2 Set",11.25,22.5,0,0,0,0,6,3/18/2019,3/18/2019,9/7/2012,2.25,BEVERAGES,MISC,NONE,
FCA2263,Iced Tea/2 Set,11.25,22.5,0,0,0,0,11,2/13/2019,2/13/2019,9/7/2012,2.25,BEVERAGES,MISC,NONE,
FR11001,Quench Root Beer/Mug,1.75,3.49,0,0,0,0,1,4/12/2019,4/12/2019,2/22/2013,0.5,BEVERAGES,SODA,NONE,7.26E+11
FR11002,Quench Orange Soda with Glass,1.75,3.49,0,0,0,0,3,11/10/2017,11/10/2017,2/22/2013,0.5,BEVERAGES,SODA,NONE,7.26E+11
FR11005,Spilled Milk with 1/2 Gallon Carton,1.5,2.99,0,0,0,0,1,4/30/2019,4/30/2019,2/13/2014,0,BEVERAGES,MISC,NONE,7.26E+11
FR11007,"Spilled Oj with Oj, 1/2 Gal",1.5,2.99,0,0,0,0,0,4/5/2019,4/5/2019,2/13/2014,0,BEVERAGES,MISC,NONE,
FR11009,Spilled Wine with Goblet & Bottle,2,3.99,0,0,0,0,2,2/6/2019,2/6/2019,2/13/2014,0,BEVERAGES,MISC,NONE,7.26E+11
FR11014,Martini,0.9,1.79,0,0,0,0,1,4/30/2019,4/30/2019,2/13/2014,0,BEVERAGES,ALCOHOL,NONE,7.26E+11
FR11015,Margarita,0.9,1.79,0,0,0,0,0,11/23/2016,2/16/2016,11/10/2014,0,BEVERAGES,ALCOHOL,NONE,7.26E+11
FR11019,Mug Of Beer,0.95,1.89,0,0,0,0,1,4/30/2019,4/30/2019,11/13/2014,0,BEVERAGES,ALCOHOL,NONE,7.26E+11
FR11020,Glass Of Milk & Cookies,2,3.99,0,0,0,0,0,12/9/2017,12/9/2017,2/13/2014,0,BEVERAGES,MISC,NONE,7.26E+11
FR11021,Coffee Can with Black Coffee,2.25,4.49,0,0,0,0,4,6/27/2018,6/27/2018,2/13/2014,0,BEVERAGES,MISC,NONE,7.26E+11
FR11104,1/2 Gallon Milk with Glass Of Milk,1.5,2.99,0,0,0,0,3,1/14/2019,1/14/2019,2/13/2014,0,BEVERAGES,MISC,NONE,7.26E+11
FR11105,Quart Of Milk with Glass Of Milk,1.5,2.99,0,0,0,0,0,10/20/2018,10/20/2018,2/13/2014,0,BEVERAGES,MISC,NONE,7.26E+11
FR11134,Glass with Lemon & Straw,0.75,1.49,0,0,0,0,1,12/7/2018,12/7/2018,2/13/2014,0,BEVERAGES,MISC,NONE,7.26E+11
FR11135,Bottle Of Vodka with Vodka Tonic Cocktail,2,3.99,0,0,0,0,0,2/21/2019,2/21/2019,2/13/2014,0,BEVERAGES,ALCOHOL,NONE,7.26E+11
