SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
\,"Birthday Cake, Pink",1,1.99,0,0,0,0,0,11/23/2016,12/10/2009,2/23/2016,-0.05,FOOD,CAKES & PIES,NONE,7.17E+11
BYBGF1,Six Foot Hero Sandwich,7.5,15,0,0,0,0,3,9/19/2018,9/19/2018,3/20/2013,1,FOOD,SANDWICHES,NONE,
BYBGF20,Bowl Of Nuts with Nutcracker,5,10,0,0,0,0,7,3/15/2019,3/15/2019,11/14/2014,0,FOOD,SNACKS & DESERTS,NONE,
BYBJC23,Potato Pancakes with Sour Cream,3.75,7.5,0,0,0,0,0,2/7/2019,11/29/2011,3/3/2015,0,FOOD,DINNER,NONE,
BYBJC23A,Potato Pancakes with Apple Sauce,3.75,7.5,0,0,0,0,3,4/1/2019,4/1/2019,11/14/2014,0,FOOD,DINNER,NONE,
BYBJF10,Gefilte Fish Plate,3.5,7,0,0,0,0,3,12/7/2018,12/7/2018,11/14/2014,0,FOOD,SEAFOOD,NONE,
BYBJF11,Chopped Liver Plate,3.5,7,0,0,0,0,0,2/7/2019,2/2/2012,3/3/2015,0,FOOD,SEAFOOD,NONE,
BYBJF12,Bagel & Lox Plate,3.5,7,0,0,0,0,1,5/2/2019,5/2/2019,6/4/2015,0,FOOD,SEAFOOD,NONE,
BYBJF16,Bowl Of Chicken Soup,3.5,7,0,0,0,0,1,11/20/2018,11/20/2018,3/20/2013,-0.25,FOOD,SOUP,NONE,
BYBJF16A,Tureen Of Chicken Soup,3.75,7.5,0,0,0,0,2,12/12/2018,12/12/2018,11/14/2014,0,FOOD,SOUP,NONE,
BYBJF3,Jar Of Chicken Soup,3.5,7,0,0,0,0,0,10/2/2016,5/31/2016,5/19/2016,0,FOOD,SOUP,NONE,
BYBJF6,Honey Cake,3.5,7,0,0,0,0,1,10/2/2016,10/1/2015,10/29/2011,1,FOOD,CAKES & PIES,NONE,
BYBJF7,Sponge Cake,3.5,7,0,0,0,0,0,10/20/2018,10/20/2018,10/2/2016,0,FOOD,CAKES & PIES,NONE,
BYBJNY3,Apples & Honey On Plate,4,8,0,0,0,0,1,9/5/2018,9/5/2018,11/14/2014,0,FOOD,FRUIT,NONE,
BYBJPO15A,Plate Of Fruit Slices,3.5,7,0,0,0,0,2,5/2/2019,5/2/2019,11/14/2014,0,FOOD,FRUIT,NONE,
BYBJPO3,Jar Of Matzah Balls,3.5,7,0,0,0,0,3,12/12/2018,12/12/2018,3/10/2016,0,FOOD,APPETIZERS,NONE,
BYBJPO4,Jar Of Gefilte Fish,3.5,7,0,0,0,0,3,12/12/2018,12/12/2018,3/31/2016,0,FOOD,SEAFOOD,NONE,
BYBJPO4A,Jar Of Horseradish,3.5,7,0,0,0,0,1,6/25/2016,6/25/2016,11/14/2014,0,FOOD,CONDIMENTS,NONE,
BYBS5,Scout Cookies,2.5,5,0,0,0,0,1,6/1/2018,2/2/2012,3/3/2015,0,FOOD,DESSERT,NONE,
CAR0018,Potatoes with Potato Peeler,1.75,3.5,0,0,0,0,3,4/1/2019,4/1/2019,2/20/2015,0,FOOD,VEGETABLES,NONE,
CAR0041,Celery Bunch,1.25,2.5,0,0,0,0,12,10/23/2018,10/23/2018,11/6/2014,0,FOOD,VEGETABLES,NONE,
CAR0044F,Corn On Cob/Flow Blue Kettle,4,8,0,0,0,0,0,4/17/2019,4/17/2019,3/31/2015,0,FOOD,VEGETABLES,NONE,
CAR0055,Cookie Dough On Cookie Sheet,1.5,3,0,0,0,0,4,4/1/2019,4/1/2019,11/8/2014,0,FOOD,BAKING,NONE,
CAR0078,Basket Of Corn,6,12,0,0,0,0,0,3/13/2019,3/13/2019,3/30/2017,-1.25,FOOD,VEGETABLES,NONE,
CAR0083,Rolling Pin with Dough,1,2,0,0,0,0,0,4/30/2019,4/30/2019,1/20/2015,0,FOOD,BAKING,NONE,
CAR0084,Apples In Flow Blue Pail,4.5,9,0,0,0,0,0,3/14/2019,3/14/2019,2/2/2016,-1,FOOD,FRUIT,NONE,
CAR0085,Tomatoes In Pan,3.5,7,0,0,0,0,0,3/13/2019,3/13/2019,2/20/2015,0,FOOD,VEGETABLES,NONE,
CAR0086,"Soup with Pan, Bowls & Spoons",3.75,7.5,0,0,0,0,2,3/4/2019,3/4/2019,12/13/2014,0,FOOD,SOUP,NONE,
CAR0087,Spaghetti In Colander with Pan & Access.,7.5,15,0,0,0,0,2,3/25/2019,3/25/2019,11/25/2014,0,FOOD,CAKES & PIES,NONE,
CAR0089,Cake On Plate with Fork Astd,1.75,3.5,0,0,0,0,1,1/11/2019,1/11/2019,1/20/2015,0,FOOD,CAKES & PIES,NONE,
